id,first_name,last_name,email,gender,salary,currency_code
1,Beverlee,Kirsop,bkirsop0@over-blog.com,Female,3915.3797,AFN
2,Maxy,Redmell,mredmell1@istockphoto.com,Non-binary,13626.9687,EUR
3,Janifer,Gallacher,jgallacher2@pinterest.com,Female,9755.4547,NIO
4,Allan,Dowry,adowry3@java.com,Male,3784.6026,RUB
5,Ransell,Billin,rbillin4@nyu.edu,Male,3618.4467,RUB
6,Myra,MacDiarmond,mmacdiarmond5@webmd.com,Female,13597.0385,CNY
7,Brena,Regitz,bregitz6@cbsnews.com,Female,11193.8008,RUB
8,Fidole,Bannell,fbannell7@a8.net,Male,7072.515,EUR
9,Giulietta,Bynert,gbynert8@craigslist.org,Female,14666.3129,CZK
10,Philippa,Godspede,pgodspede9@mac.com,Female,10259.7874,PAB
11,Marge,Hustler,mhustlera@admin.ch,Female,11449.488,MAD
12,Alexa,Hasslocher,ahasslocherb@a8.net,Genderfluid,8470.7791,THB
13,Gannie,Maffeo,gmaffeoc@last.fm,Bigender,6326.2429,XCD
14,Bendix,Levick,blevickd@omniture.com,Male,7344.8734,EUR
15,Culver,Pugsley,cpugsleye@infoseek.co.jp,Male,6911.9565,CNY
16,Valene,Drake,vdrakef@newsvine.com,Female,10104.759,PLN
17,Teirtza,Gibbings,tgibbingsg@buzzfeed.com,Female,8438.0677,CNY
18,Loleta,Sartin,lsartinh@constantcontact.com,Female,2821.5714,CNY
19,Myles,Lorenzin,mlorenzini@surveymonkey.com,Male,13866.5687,IRR
20,Damara,Bredee,dbredeej@sakura.ne.jp,Female,18280.2556,ARS
21,Frannie,Tynewell,ftynewellk@hhs.gov,Male,5503.8079,GBP
22,Tammie,Hartgill,thartgilll@homestead.com,Female,4362.2776,SEK
23,Yetta,Dewire,ydewirem@indiegogo.com,Female,11702.6451,CNY
24,Murdock,Weafer,mweafern@sogou.com,Male,6387.2527,CNY
25,Carlye,Coleiro,ccoleiroo@canalblog.com,Female,18928.7777,IDR
26,Glennie,Wildish,gwildishp@goo.gl,Female,3789.9741,XOF
27,Maighdiln,O'Heffernan,moheffernanq@answers.com,Female,6584.8899,EUR
